,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,bobs-pizza-chicago,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 41.853945, 'longitude': -87.6683543622494}",(312) 600-6155,5747.806191846369,1wSxClt75nOBS31--dlWYg,https://s3-media3.fl.yelpcdn.com/bphoto/NtA_-fyc9l991m2TNvMcnA/o.jpg,False,"{'address1': '1659 W 21st St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60608', 'country': 'US', 'state': 'IL', 'display_address': ['1659 W 21st St', 'Chicago, IL 60608']}",Bob's Pizza,+13126006155,$$,5.0,95,"['pickup', 'delivery']",https://www.yelp.com/biz/bobs-pizza-chicago?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
1,stix-n-brix-wood-fired-pizza-chicago,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 41.8347077589943, 'longitude': -87.6323673999492}",(312) 265-0219,8689.035357098232,zGd8pahz1B1AyShe1t-lvQ,https://s3-media1.fl.yelpcdn.com/bphoto/Hphuf5hUw2hWnOXpkUF9zA/o.jpg,False,"{'address1': '218 W 33rd St', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60616', 'country': 'US', 'state': 'IL', 'display_address': ['218 W 33rd St', 'Chicago, IL 60616']}",Stix n Brix Wood Fired Pizza,+13122650219,$$,5.0,81,"['pickup', 'delivery']",https://www.yelp.com/biz/stix-n-brix-wood-fired-pizza-chicago?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
2,forno-rosso-pizzeria-napoletana-chicago,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 41.94767, 'longitude': -87.80672}",(773) 716-3000,11670.194131619479,6EiFN9NS9BQnqw8FXWiY4A,https://s3-media2.fl.yelpcdn.com/bphoto/LK3Lxn7JDxVSqegDj89KZw/o.jpg,False,"{'address1': '3719 N Harlem Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60634', 'country': 'US', 'state': 'IL', 'display_address': ['3719 N Harlem Ave', 'Chicago, IL 60634']}",Forno Rosso Pizzeria Napoletana,+17737163000,$$,4.5,551,"['pickup', 'delivery']",https://www.yelp.com/biz/forno-rosso-pizzeria-napoletana-chicago?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
3,anto-pizza-and-pasta-chicago-chicago,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 42.01578, 'longitude': -87.66985}",(773) 942-7427,12323.229696605315,ss_w9TZiXBnuBrTfrMtG4Q,https://s3-media3.fl.yelpcdn.com/bphoto/-fbqspcnRLDcBVYyE50NpQ/o.jpg,False,"{'address1': '1547 W Jarvis', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60626', 'country': 'US', 'state': 'IL', 'display_address': ['1547 W Jarvis', 'Chicago, IL 60626']}",Anto Pizza & Pasta Chicago,+17739427427,,5.0,55,"['pickup', 'delivery']",https://www.yelp.com/biz/anto-pizza-and-pasta-chicago-chicago?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
4,la-crosta-woodfire-pizzeria-italiana-chicago,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 41.9248027560034, 'longitude': -87.6479495139774}",(773) 649-1000,3278.2237921604824,Z-SJv3keY-u2bIAnkrDq_Q,https://s3-media1.fl.yelpcdn.com/bphoto/Xam6mAWuAVmtEHmKVsvEPQ/o.jpg,False,"{'address1': '2360 N Lincoln Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60614', 'country': 'US', 'state': 'IL', 'display_address': ['2360 N Lincoln Ave', 'Chicago, IL 60614']}",La Crosta Woodfire Pizzeria Italiana,+17736491000,$$,4.5,185,['pickup'],https://www.yelp.com/biz/la-crosta-woodfire-pizzeria-italiana-chicago?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
5,roberts-pizza-and-dough-company-chicago-2,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 41.8906916389975, 'longitude': -87.6172096480698}",(312) 265-1328,5263.786397748501,Rn3o8GcYBPFJX5MWJn0r1Q,https://s3-media3.fl.yelpcdn.com/bphoto/z5Y31-0LSESL8cLqLW1dAw/o.jpg,False,"{'address1': '465 N McClurg', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60611', 'country': 'US', 'state': 'IL', 'display_address': ['465 N McClurg', 'Chicago, IL 60611']}",Robert's Pizza & Dough Company,+13122651328,$$,4.5,276,[],https://www.yelp.com/biz/roberts-pizza-and-dough-company-chicago-2?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
6,the-stopalong-chicago,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'salad', 'title': 'Salad'}]","{'latitude': 41.91426, 'longitude': -87.68393}",(773) 394-4694,1136.6475635624713,Nza-kbPzUfFMZGyJz12sYg,https://s3-media4.fl.yelpcdn.com/bphoto/DC3r4p8Qm_uk8efhPUFrnQ/o.jpg,False,"{'address1': '1812 N Milwaukee Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['1812 N Milwaukee Ave', 'Chicago, IL 60647']}",The StopAlong,+17733944694,$$,4.5,190,"['pickup', 'delivery']",https://www.yelp.com/biz/the-stopalong-chicago?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
7,jimmys-pizza-café-chicago-2,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 41.9757474517431, 'longitude': -87.6921836227971}",(773) 293-6992,7939.125012345347,0ZENqrACvQ4tiMvFEkgVPg,https://s3-media2.fl.yelpcdn.com/bphoto/vRrDrjdBYEQifinUtkMIig/o.jpg,False,"{'address1': '5159 N Lincoln Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60625', 'country': 'US', 'state': 'IL', 'display_address': ['5159 N Lincoln Ave', 'Chicago, IL 60625']}",Jimmy's Pizza Café,+17732936992,$,4.5,576,"['pickup', 'delivery']",https://www.yelp.com/biz/jimmys-pizza-caf%C3%A9-chicago-2?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
8,pizzeria-bebu-chicago,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 41.90912, 'longitude': -87.65087}",(312) 280-6000,2272.2736489836857,2YpaHOHIsOmO8CKAl8OK6g,https://s3-media3.fl.yelpcdn.com/bphoto/tHMtb3kSCUnIq2IF1Djitg/o.jpg,False,"{'address1': '1521 N Fremont St', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60642', 'country': 'US', 'state': 'IL', 'display_address': ['1521 N Fremont St', 'Chicago, IL 60642']}",Pizzeria Bebu,+13122806000,$$,4.5,252,[],https://www.yelp.com/biz/pizzeria-bebu-chicago?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
9,knead-chicago-2,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'gelato', 'title': 'Gelato'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 41.910211, 'longitude': -87.680272}",(773) 974-6004,598.8177340047259,GPN0FxOs2WU1_0JGj4KvIA,https://s3-media3.fl.yelpcdn.com/bphoto/55kkns2N6GeB9CsldTteHg/o.jpg,False,"{'address1': '2101 W North Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['2101 W North Ave', 'Chicago, IL 60647']}",Knead,+17739746004,$$,4.5,102,"['pickup', 'delivery']",https://www.yelp.com/biz/knead-chicago-2?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
