,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,xochimilco-mexican-restaurant-chicago,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 41.9616665, 'longitude': -87.6802497}",(773) 661-1534,6286.6729073960605,--Yw337vTC4fLKRCaw-PLQ,https://s3-media2.fl.yelpcdn.com/bphoto/T0E_7I_-FbqnmYjVgrLAzg/o.jpg,False,"{'address1': '2030-32 W Montrose Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['2030-32 W Montrose Ave', 'Chicago, IL 60618']}",XOchimilco Mexican Restaurant,+17736611534,$$,5.0,80,"['pickup', 'delivery']",https://www.yelp.com/biz/xochimilco-mexican-restaurant-chicago?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
1,edgewater-tacos-chicago-6,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 41.9844463569139, 'longitude': -87.660366743803}",(773) 944-0847,8932.965981697113,PyyOtwxzGqlFN0fcT_3GCQ,https://s3-media3.fl.yelpcdn.com/bphoto/l3Gj8pqnVfOySTZSxyMAJw/o.jpg,False,"{'address1': '5624 N Broadway', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60660', 'country': 'US', 'state': 'IL', 'display_address': ['5624 N Broadway', 'Chicago, IL 60660']}",Edgewater Tacos,+17739440847,$$,5.0,199,[],https://www.yelp.com/biz/edgewater-tacos-chicago-6?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
2,el-habanero-chicago,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 41.92496, 'longitude': -87.71099}",(773) 227-9225,3514.389124913822,-NLBAIP5O8BYqbPg0toNog,https://s3-media1.fl.yelpcdn.com/bphoto/f9KxWx2RO1osFu8H0w4IjQ/o.jpg,False,"{'address1': '3300 W Fullerton Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['3300 W Fullerton Ave', 'Chicago, IL 60647']}",El Habanero,+17732279225,$,4.5,441,[],https://www.yelp.com/biz/el-habanero-chicago?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
3,tacotlan-chicago,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 41.92469, 'longitude': -87.73466}",(773) 666-5259,5181.269736816145,-HqkUZg3tu-ZAV1RhdzXHQ,https://s3-media1.fl.yelpcdn.com/bphoto/nUZ2CKO2CosfeYZezVZXeQ/o.jpg,False,"{'address1': '4312 W Fullerton Ave', 'address2': None, 'address3': None, 'city': 'Chicago', 'zip_code': '60639', 'country': 'US', 'state': 'IL', 'display_address': ['4312 W Fullerton Ave', 'Chicago, IL 60639']}",Tacotlan,+17736665259,$,5.0,60,"['pickup', 'delivery']",https://www.yelp.com/biz/tacotlan-chicago?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
4,birrieria-zaragoza-chicago,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 41.80447, 'longitude': -87.72385}",(773) 523-3700,11825.027205584953,kdIJtpWmVhGDsgGyOyhzKg,https://s3-media1.fl.yelpcdn.com/bphoto/n9IjCjtg2a6e55kp1_U_zg/o.jpg,False,"{'address1': '4852 S Pulaski Rd', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60632', 'country': 'US', 'state': 'IL', 'display_address': ['4852 S Pulaski Rd', 'Chicago, IL 60632']}",Birrieria Zaragoza,+17735233700,$$,4.5,453,['pickup'],https://www.yelp.com/biz/birrieria-zaragoza-chicago?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
5,sabroso-mexican-grill-chicago-4,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newmexican', 'title': 'New Mexican Cuisine'}]","{'latitude': 41.89319, 'longitude': -87.66753}",(773) 253-5001,1572.8117156777953,o98kicIhRgBjoMqQr2SzTQ,https://s3-media4.fl.yelpcdn.com/bphoto/-3KOZ_UbbN0krJSAoISh7Q/o.jpg,False,"{'address1': '624 N Ashland Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['624 N Ashland Ave', 'Chicago, IL 60622']}",Sabroso! Mexican Grill,+17732535001,$$,4.5,208,"['pickup', 'delivery']",https://www.yelp.com/biz/sabroso-mexican-grill-chicago-4?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
6,el-taco-azteca-chicago,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 41.85185, 'longitude': -87.68029}",(773) 247-1103,5923.162039742648,gnNU9D08rqhMioCx0AJbAg,https://s3-media2.fl.yelpcdn.com/bphoto/jryWgu7F-Q1iyf1Af82Tng/o.jpg,False,"{'address1': '2151 W Cermak Rd', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60608', 'country': 'US', 'state': 'IL', 'display_address': ['2151 W Cermak Rd', 'Chicago, IL 60608']}",El Taco Azteca,+17732471103,$,4.5,178,"['pickup', 'delivery']",https://www.yelp.com/biz/el-taco-azteca-chicago?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
7,kie-gol-lanee-chicago,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 41.9735169, 'longitude': -87.6551255}",(872) 241-9088,7836.026937910242,9Q8bXB3Bi9l64pzxoV-heQ,https://s3-media3.fl.yelpcdn.com/bphoto/Xa52yqG3YgeOo8FnX1I_4g/o.jpg,False,"{'address1': '5004 North Sheridan Rd', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60640', 'country': 'US', 'state': 'IL', 'display_address': ['5004 North Sheridan Rd', 'Chicago, IL 60640']}",Kie-Gol-Lanee,+18722419088,$$,4.5,107,"['pickup', 'delivery']",https://www.yelp.com/biz/kie-gol-lanee-chicago?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
8,carnitas-uruapan-chicago-2,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 41.857612801225, 'longitude': -87.669703625051}",(312) 226-2654,5328.8739038202175,0eMo-MeawM-tmbwpzv3rDg,https://s3-media2.fl.yelpcdn.com/bphoto/g97X7bXcFvbHalrSXfenXg/o.jpg,False,"{'address1': '1725 W 18th St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60608', 'country': 'US', 'state': 'IL', 'display_address': ['1725 W 18th St', 'Chicago, IL 60608']}",Carnitas Uruapan,+13122262654,$,4.5,381,"['pickup', 'delivery']",https://www.yelp.com/biz/carnitas-uruapan-chicago-2?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
9,pueblo-nuevo-chicago,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 41.960272, 'longitude': -87.76744}",(773) 283-8058,9621.98477434252,_Yx4OcyoYXTiI3xOzNgVyw,https://s3-media2.fl.yelpcdn.com/bphoto/OWlcnyAf7_25QUJ6Kpsrig/o.jpg,False,"{'address1': '4342 N Central Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60634', 'country': 'US', 'state': 'IL', 'display_address': ['4342 N Central Ave', 'Chicago, IL 60634']}",Pueblo Nuevo,+17732838058,$,4.5,412,[],https://www.yelp.com/biz/pueblo-nuevo-chicago?adjust_creative=1siSLt3fuYEtiouLlx1Rkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1siSLt3fuYEtiouLlx1Rkg
